City_or_Regency,Vaccinated,Fully_Vaccinated,Total,Date,URL,
KAB SAMPANG,1398,,1398,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB SITUBONDO,1873,,1873,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB PACITAN,1231,,1231,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB TULUNGAGUNG,5320,,5320,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB SIDOARJO,9173,1919,11092,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB GRESIK,6113,1260,7373,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB PONOROGO,3540,,3540,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB LAMONGAN,5340,,5340,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KOTA PASURUAN,1420,,1420,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB JEMBER,6636,,6636,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KOTA BATU,1559,,1559,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB NGANJUK,3451,,3451,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KOTA MOJOKERTO,2620,,2620,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB JOMBANG,5104,,5104,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KOTA KEDIRI,4244,,4244,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB MOJOKERTO,3589,,3589,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB BLITAR,2768,,2768,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB BONDOWOSO,3533,,3533,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KOTA MADIUN,3398,,3398,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB LUMAJANG,3304,,3304,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB BOJONEGORO,4042,,4042,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB PROBOLINGGO,2721,,2721,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KOTA SURABAYA,32726,9310,42036,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB NGAWI,2832,,2832,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB MADIUN,2123,,2123,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB PASURUAN,3766,,3766,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB BANYUWANGI,4855,,4855,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB BANGKALAN,2691,,2691,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB MALANG,6599,,6599,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB MAGETAN,2164,,2164,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KOTA PROBOLINGGO,1438,,1438,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KOTA BLITAR,2040,,2040,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB KEDIRI,4301,,4301,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB TUBAN,2467,,2467,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KOTA MALANG,9164,,9164,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB TRENGGALEK,2365,,2365,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB SUMENEP,2332,,2332,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB PAMEKASAN,1991,,1991,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
KAB SAMPANG,1398,,1398,2/7/2021,https://twitter.com/KominfoJatim/status/1358447691290693634/photo/,
